model,precision_spam,recall_spam,f1_spam,accuracy,tn,fp,fn,tp,cv_best_f1,best_params,precision_ham,recall_ham,f1_ham,support_ham,support_spam,macro_f1,weighted_f1,balanced_accuracy,specificity,npv,false_positive_rate,false_negative_rate,roc_auc
lr,0.979827,0.979827,0.979827,0.987709,785,7,7,340,0.979054,"{""clf__C"": 10.0, ""clf__max_iter"": 1000, ""clf__solver"": ""liblinear""}",0.991162,0.991162,0.991162,792,347,0.985494,0.987709,0.985494,0.991162,0.991162,0.008838,0.020173,0.996532
svm,0.976945,0.976945,0.976945,0.985953,784,8,8,339,0.982365,"{""experiment"": ""word_1_2"", ""clf__C"": 10.0}",0.989899,0.989899,0.989899,792,347,0.983422,0.985953,0.983422,0.989899,0.989899,0.010101,0.023055,0.997919
nb,0.966102,0.985591,0.975749,0.985075,780,12,5,342,0.967434,"{""clf__alpha"": 0.1}",0.993631,0.984848,0.98922,792,347,0.982484,0.985116,0.98522,0.984848,0.993631,0.015152,0.014409,0.99686
rf,0.960227,0.974063,0.967096,0.979807,778,14,9,338,0.966876,"{""clf__max_depth"": null, ""clf__max_features"": ""log2"", ""clf__min_samples_split"": 5, ""clf__n_estimators"": 300}",0.988564,0.982323,0.985434,792,347,0.976265,0.979847,0.978193,0.982323,0.988564,0.017677,0.025937,0.997981
keyword,0.589226,0.504323,0.543478,0.741879,670,122,172,175,,,0.795724,0.84596,0.820073,792,347,0.681776,0.735808,0.675141,0.84596,0.795724,0.15404,0.495677,
majority,0.0,0.0,0.0,0.695347,792,0,347,0,,,0.695347,1.0,0.8203,792,347,0.41015,0.570393,0.5,1.0,0.695347,0.0,1.0,
